"filename", "language", "TypeScript", "JSON with Comments", "JSON", "Markdown", "TypeScript JSX", "HTML", "PostCSS", "YAML", "Python", "pip requirements", "PowerShell", "MS SQL", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_pipeline_single.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 15, 20, 100
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_voices.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 13, 20, 83
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\integration\test_works.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 12, 18, 74
"d:\Git.Project\local-aI-dubber-desktop\python-engine\tests\unit\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Git.Project\local-aI-dubber-desktop\renderer\index.html", "HTML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\Git.Project\local-aI-dubber-desktop\renderer\package-lock.json", "JSON", 0, 0, 2548, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2549
"d:\Git.Project\local-aI-dubber-desktop\renderer\package.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\ActivationModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 3, 12, 116
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\ConfirmDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 5, 64
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\Loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\ProgressBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 14, 132
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\components\VideoPlayer.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 3, 17, 153
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\constants.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 1, 2, 18
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\AvatarManager.tsx", "TypeScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 1, 5, 77
"d:\Git.Project\local-aI-dubber-desktop\renderer\src\pages\BatchCreation.tsx", "TypeScript JSX", 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 2, 8, 102
