"filename", "language", "Python", "TypeScript", "JSON with Comments", "Markdown", "YAML", "pip requirements", "JSON", "Docker", "TypeScript JSX", "XML", "comment", "blank", "total"
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\README.DIT.md", "Markdown", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 31, 142
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\README.md", "Markdown", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 34, 147
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\client_grpc.py", "Python", 755, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 124, 923
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\client_http.py", "Python", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 20, 173
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\docker-compose.dit.yml", "YAML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\docker-compose.yml", "YAML", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 20
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\audio_tokenizer\1\model.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 13, 98
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\cosyvoice2\1\model.py", "Python", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 68, 455
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\cosyvoice2_dit\1\model.py", "Python", 251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 53, 395
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\speaker_embedding\1\model.py", "Python", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 21, 154
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\token2wav\1\model.py", "Python", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 38, 278
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\token2wav_dit\1\model.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 28, 143
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\model_repo\token2wav_dit\1\token2wav_dit.py", "Python", 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 77, 511
"d:\Git.Project\local-aI-dubber-desktop\python-engine\third_party\CosyVoice\runtime\triton_trtllm\offline_inference.py", "Python", 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 59, 653
